0001|જંગલના એક શાંત ખૂણે એક વાઘણી રહેતી હતી.
0002|તેની પાસે બે નાના બચ્ચાં હતાં.
0003|એક બચ્ચું ખૂબ જ જિજ્ઞાસુ હતું.
0004|બીજું બચ્ચું શાંત સ્વભાવનું હતું.
0005|વાઘણીએ પોતાના બચ્ચાંને પ્રેમથી ઉછેર્યા.
0006|સવાર થતાં જંગલ જીવંત બની જતો.
0007|પંખીઓ મધુર સ્વરમાં ગાતા.
0008|હરણો લીલા ઘાસમાં રમતા.
0009|સૂર્યની કિરણો વૃક્ષોમાંથી ઝળહળતી.
0010|જંગલમાં હંમેશા શાંતિ રહેતી.

0011|વીર બાળપણથી જ બહાદુર હતો.
0012|તેને નવી વસ્તુઓ શીખવાની ઇચ્છા હતી.
0013|વીર વારંવાર પ્રશ્નો પૂછતો.
0014|તે પોતાની માતાની વાત ધ્યાનથી સાંભળતો.
0015|માતા તેને સમજદારી શીખવતી.
0016|જંગલ જ તેમનું સાચું ઘર હતું.
0017|પ્રકૃતિ સાથે જીવવું તેને ગમતું.
0018|વીર દરરોજ નવી જગ્યાઓ શોધતો.
0019|તે જંગલના અવાજો ઓળખતો.
0020|દરેક દિવસ એક નવો અનુભવ હતો.

0021|સમય સાથે વીર મોટો થવા લાગ્યો.
0022|તે શિકાર કરવાની કળા શીખી ગયો.
0023|તે ઝડપથી દોડતો શીખ્યો.
0024|વીરને પોતાની શક્તિ પર વિશ્વાસ હતો.
0025|તે હંમેશા સચેત રહેતો.
0026|એક દિવસ અજાણી ગંધ ફેલાઈ.
0027|વીરને કંઈક ખોટું લાગ્યું.
0028|જંગલમાં અચાનક શાંતિ છવાઈ.
0029|પંખીઓ ગાવા બંધ કરી દીધું.
0030|હરણો ડરીને ભાગવા લાગ્યા.

0031|થોડા દિવસોમાં વૃક્ષો કપાવા લાગ્યા.
0032|મશીનોના અવાજો સંભળાયા.
0033|માનવો જંગલમાં પ્રવેશ્યા.
0034|પ્રાણીઓમાં ભય ફેલાયો.
0035|વીરને ગુસ્સો આવ્યો.
0036|તેને પોતાનું ઘર બચાવવું હતું.
0037|રાત્રે વીર બહાર નીકળ્યો.
0038|તે માણસોના કેમ્પ પાસે ગયો.
0039|તેણે આગ અને લાઈટ જોઈ.
0040|વીર છુપાઈને બધું જોતો રહ્યો.

0041|કેટલાક લોકો વૃક્ષો કાપી રહ્યા હતા.
0042|પરંતુ એક યુવક અલગ લાગતો હતો.
0043|યુવકનું ચહેરું દુઃખી હતું.
0044|તે પ્રકૃતિ વિશે વિચારી રહ્યો હતો.
0045|વીર તેની વાત સાંભળતો રહ્યો.
0046|યુવકને જંગલ પ્રત્યે લાગણી હતી.
0047|તેને વિનાશ પસંદ નહોતો.
0048|વીરને થોડી શાંતિ અનુભવાઈ.
